D,7,00:08:30:b6:26:f0,eduroam,-67
D,7,c8:3a:35:42:be:58,MARTIN-PC_Wifi,-86
D,7,64:ae:0c:25:8f:40,eduroam,-73
D,7,54:78:1a:21:06:60,,-97
D,7,00:24:01:8d:2b:da,Komnata_D610,-87
D,7,54:78:1a:21:06:60,,-97
D,7,00:08:30:b6:26:f0,eduroam,-71
D,7,00:24:01:8d:2b:da,Komnata_D610,-94
D,7,c8:3a:35:42:be:58,MARTIN-PC_Wifi,-91
D,7,64:ae:0c:25:8f:40,eduroam,-85
D,7,54:78:1a:21:06:62,eduroam,-95
D,7,00:11:09:0d:06:ad,D606-Network,-97
D,7,00:08:30:b6:26:f0,eduroam,-67
D,7,54:78:1a:21:06:60,,-97
D,7,00:24:01:8d:2b:da,Komnata_D610,-95
D,7,c8:3a:35:42:be:58,MARTIN-PC_Wifi,-93
D,7,64:ae:0c:25:8f:40,eduroam,-81
D,7,00:11:09:0d:06:ad,D606-Network,-97
D,7,00:08:30:b6:26:f0,eduroam,-64
D,7,54:78:1a:21:06:62,eduroam,-97
D,7,64:ae:0c:25:8f:40,eduroam,-81
D,7,00:24:01:8d:2b:da,Komnata_D610,-97
D,7,c8:3a:35:42:be:58,MARTIN-PC_Wifi,-89
D,7,54:78:1a:21:06:60,,-97
D,6,54:78:1a:21:06:61,,-87
D,6,54:78:1a:21:06:62,eduroam,-86
D,6,00:08:30:b6:26:f0,eduroam,-64
D,6,64:ae:0c:25:8f:40,eduroam,-97
D,6,00:11:09:0d:06:ad,D606-Network,-88
D,6,54:78:1a:21:06:60,,-87
D,6,00:24:01:8d:2b:da,Komnata_D610,-75
D,6,c8:3a:35:42:be:58,MARTIN-PC_Wifi,-68
D,6,e0:3f:49:40:ad:38,AE_WIFI,-94
D,6,64:ae:0c:25:8f:40,eduroam,-97
D,6,c8:3a:35:42:be:58,MARTIN-PC_Wifi,-80
D,6,54:78:1a:21:06:61,,-82
D,6,00:24:01:8d:2b:da,Komnata_D610,-81
D,6,00:08:30:b6:26:f0,eduroam,-78
